Time,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[1].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[100].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[200].T,thermocline_Insulation.simpleWall[1].material.T,thermocline_Insulation.simpleWall[100].material.T,thermocline_Insulation.simpleWall[200].material.T
2130,638.129638671875,492.8072509765625,492.8072509765625,628.0789794921875,492.74765014648438,492.74765014648438
2140,640.46075439453125,492.80563354492188,492.80563354492188,630.89459228515625,492.74603271484375,492.74603271484375
2150,642.65509033203125,492.80401611328125,492.80401611328125,633.568115234375,492.74444580078125,492.74444580078125
2160,644.71722412109375,492.80239868164063,492.80239868164063,636.103271484375,492.74282836914063,492.74282836914063
2170,646.65185546875,492.80078125,492.80078125,638.50372314453125,492.7412109375,492.7412109375
2180,648.4635009765625,492.79916381835938,492.79916381835938,640.77313232421875,492.7396240234375,492.7396240234375
2190,650.1568603515625,492.79754638671875,492.79754638671875,642.9150390625,492.73800659179688,492.73800659179688
2200,651.736572265625,492.79595947265625,492.79595947265625,644.93316650390625,492.73638916015625,492.73638916015625
2210,653.207275390625,492.79434204101563,492.79434204101563,646.8311767578125,492.73480224609375,492.73480224609375
2220,654.573486328125,492.792724609375,492.792724609375,648.6126708984375,492.73318481445313,492.73318481445313
2230,655.8304443359375,492.79110717773438,492.79110717773438,650.2713623046875,492.73159790039063,492.73159790039063
2240,656.976318359375,492.78948974609375,492.78948974609375,651.80059814453125,492.72998046875,492.72998046875
2250,658.03692626953125,492.78787231445313,492.78787231445313,653.2254638671875,492.72836303710938,492.72836303710938
2260,659.0159912109375,492.7862548828125,492.7862548828125,654.5501708984375,492.72677612304688,492.72677612304688
2270,659.917236328125,492.78463745117188,492.78463745117188,655.77886962890625,492.72515869140625,492.72515869140625
2280,660.74444580078125,492.78302001953125,492.78302001953125,656.91571044921875,492.72357177734375,492.72357177734375
2290,661.5013427734375,492.78140258789063,492.78140258789063,657.96484375,492.72195434570313,492.72195434570313
2300,662.191650390625,492.77978515625,492.77978515625,658.930419921875,492.72036743164063,492.72036743164063
2310,662.81915283203125,492.7781982421875,492.7781982421875,659.81658935546875,492.71875,492.71875
2320,663.3875732421875,492.77658081054688,492.77658081054688,660.62762451171875,492.71713256835938,492.71713256835938
2330,663.90069580078125,492.77496337890625,492.77496337890625,661.3675537109375,492.71554565429688,492.71554565429688
2340,664.3621826171875,492.77334594726563,492.77334594726563,662.0406494140625,492.71392822265625,492.71392822265625
2350,664.77587890625,492.771728515625,492.771728515625,662.65093994140625,492.71234130859375,492.71234130859375
2360,665.12969970703125,492.77011108398438,492.77011108398438,663.1826171875,492.71072387695313,492.71072387695313
2370,665.43798828125,492.76849365234375,492.76849365234375,663.65252685546875,492.70913696289063,492.70913696289063
2380,665.7236328125,492.76690673828125,492.76690673828125,664.0897216796875,492.70751953125,492.70751953125
2390,665.98748779296875,492.76528930664063,492.76528930664063,664.49530029296875,492.7059326171875,492.7059326171875
2400,666.23028564453125,492.763671875,492.763671875,664.870361328125,492.70431518554688,492.70431518554688
2410,666.4530029296875,492.76205444335938,492.76205444335938,665.216064453125,492.70272827148438,492.70272827148438
